0.7933344202,0.0041310319,0.0180296017,0.0045910540,0.0066900551,0.0139006026,0.0054773586,0.0035661628,0.0096759673,0.0084741934,0.0111168043,0.0049930540,0.0070953841,0.0127100650,0.0043451245,0.0031255906,0.0079552157,0.0184248455,0.0019020795,0.0134916623,0.0115978859,0.0207379783,0.0183662270
0.0034738431,0.7366417738,0.0119238034,0.0082021237,0.0089485118,0.0098631609,0.0216864641,0.0049026271,0.0103014052,0.0130761115,0.0198749996,0.0003769817,0.0093446932,0.0044206063,0.0165156894,0.0076687216,0.0066748414,0.0001604473,0.0188362855,0.0083917287,0.0006759311,0.0082149882,0.0047443004
0.0110586864,0.0161631287,0.7630917717,0.0168834236,0.0135630499,0.0146448424,0.0110012704,0.0067611698,0.0208157534,0.0133191189,0.0168992526,0.0190639789,0.0101679921,0.0216068869,0.0062037539,0.0212909730,0.0054248095,0.0099559397,0.0125508570,0.0212016164,0.0140165610,0.0167151514,0.0028851728
0.0146491958,0.0169418720,0.0080984044,0.7755613420,0.0144426389,0.0128727766,0.0155372727,0.0071984251,0.0171365817,0.0173263757,0.0016280455,0.0075309861,0.0019438445,0.0198232587,0.0127241412,0.0190200428,0.0116017031,0.0007111907,0.0183995332,0.0001076112,0.0026375820,0.0200292563,0.0198191059
0.0181274674,0.0178407010,0.0047169291,0.0130948114,0.7542279414,0.0104681325,0.0061350590,0.0100048893,0.0091078616,0.0128172280,0.0021777941,0.0114611243,0.0209432409,0.0064167628,0.0001304874,0.0083931926,0.0145426577,0.0156985412,0.0018448118,0.0171986911,0.0141699339,0.0021449141,0.0147898838
0.0214476419,0.0206893396,0.0160127277,0.0196426389,0.0018056823,0.7305080168,0.0118322537,0.0139277517,0.0216467356,0.0039317699,0.0145259826,0.0171947779,0.0076249908,0.0013833948,0.0174787159,0.0165771969,0.0052821325,0.0159276556,0.0160432696,0.0041953984,0.0215458225,0.0143361415,0.0025579662
0.0173964428,0.0062619596,0.0002026727,0.0165797483,0.0080017207,0.0076615942,0.7587653294,0.0131241348,0.0104181630,0.0154628295,0.0050396808,0.0180062406,0.0171832578,0.0085929994,0.0087869430,0.0055631187,0.0055729173,0.0022561854,0.0212312493,0.0192177647,0.0173943819,0.0003840039,0.0169370269
0.0054345927,0.0106442894,0.0187776883,0.0149757956,0.0207741717,0.0138326792,0.0023118329,0.7616844112,0.0063117557,0.0107127759,0.0083716637,0.0063862065,0.0143987599,0.0146767407,0.0139154980,0.0150591557,0.0066299352,0.0148403147,0.0127683371,0.0180734571,0.0002793431,0.0142385437,0.0003330504
0.0051664807,0.0090788101,0.0142084239,0.0026609116,0.0168374589,0.0211864850,0.0020118523,0.0064178764,0.7320966789,0.0075040332,0.0023680286,0.0065754957,0.0196429576,0.0161848785,0.0189931393,0.0019589219,0.0215922517,0.0155030911,0.0207700766,0.0138046546,0.0025810279,0.0217144469,0.0171339933
0.0047888007,0.0034464806,0.0063038126,0.0045638746,0.0090509508,0.0061857182,0.0172499848,0.0140666600,0.0112844279,0.7761084453,0.0053544010,0.0115872441,0.0194133971,0.0031405244,0.0092140060,0.0046147565,0.0207495760,0.0108648813,0.0089515974,0.0058218741,0.0118297689,0.0212799701,0.0066559702
